Collection,Author,Mode,# Servers,URL,Notes
MCPWorld,Baidu,Website,26404,https://www.mcpworld.com/,
MCP.so,mcpso,Website,16592,https://mcp.so/,
MCP Servers Repository,mcprepository,Website,13596,https://mcprepository.com/,
AIbase MCP,AIbase,Website,12448,https://mcp.aibase.com/explore,
Glama,glama.ai,Website,9415,https://glama.ai/mcp/servers,
Smithery,Henry Mao,Website,6888,https://smithery.ai/,
PulseMCP,Antanavicius et al.,Website,6072,https://www.pulsemcp.com/,
ModelScope MCP Marketplace,modelscope,Website,5441,https://modelscope.cn/mcp,
Awesome MCP Servers,wong2,Website,2402,https://mcpservers.org/,
Cursor Directory MCP,Cursor,Website,1800,https://cursor.directory/mcp,
Official Collection,Anthropic,GitHub Repo,1204,https://github.com/modelcontextprotocol/servers,"Official collection curated by Anthropic; also maintains the community-driven MCP Registry at https://github.com/modelcontextprotocol/registry"
AiMCP,Hekmon,Website,907,https://www.aimcp.info/,
Dockmaster,mcp-dockmaster,Desktop App,516,https://mcp-dockmaster.com/,
MCP Market,mcpmarket.com,Website,463,https://mcpmarket.com/,
MCP.run,mcp.run,Website,242,https://mcp.run/,
Awesome MCP Servers,Stephen Akinyemi,GitHub Repo,217,https://github.com/appcypher/awesome-mcp-servers/,
CLine MCP Marketplace,Cline,Website,154,https://cline.bot/mcp-marketplace/,
Bailian MCP Market,Aliyun,Website,151,https://bailian.console.aliyun.com/?tab=mcp#/mcp-market/,
OpenTools,opentoolsteam,Website,148,https://opentools.com/,
Awesome Remote MCP Servers,JAW9C,GitHub Repo,79,https://github.com/jaw9c/awesome-remote-mcp-servers/,
MCP Server Hub,mcpserverhub,Website,71,https://mcpserverhub.com/,
mcp-get,Michael Latman,Website,59,https://mcp-get.com/,
MCP Marketplace,Higress.ai,Website,50,https://mcp.higress.ai/,
Toolbase,gching,Desktop App,24,https://gettoolbase.ai/,
make inference,mkinf,Website,23,https://mkinf.io/,
Awesome Crypto MCP Servers,Luke Fan,GitHub Repo,12,https://github.com/badkk/awesome-crypto-mcp-servers/,
